Source Country,Name,Field Of Influence,Generation,Influence,Description
Cuba,Desmond Child,Arts/Entertainment,Second Generation or Higher,135372,"Desmond Child  is an American musician, professional songwriter, and producer"
Cuba,Joe Garcia,Arts/Entertainment,Second Generation or Higher,132073,
Cuba,Hector Lombard,Sports,First Generation,131459,Hector Miguel Lombard Pedrosa  is a Cuban-Australian professional mixed martial artist and former Olympic judoka who competes as a Welterweight in the Ultimate Fighting Championship
Cuba,J. P. Arencibia,Sports,Second Generation or Higher,130700,
Cuba,Mel Martinez,Government,Second Generation or Higher,129344,"MelquÍades Rafael MartÍnez Ruiz, usually known as Mel MartÍnez , is an American lobbyist and former politician who served as United States senator from Florida and served as chairman of the Republican Party from November 2006 until October 19, 2007, the first Latino to serve as chairman of a major party"
Cuba,Jeff Bezos,Business/Technology,Second Generation or Higher,128269,"Jeffrey Preston ""Jeff"" Bezos  is an American business magnate and investor"
Cuba,Gio Gonzalez,Sports,Second Generation or Higher,125530,"Giovany Aramis ""Gio"" Gonzˆlez  is an American professional baseball pitcher for the Washington Nationals of Major League Baseball"
Cuba,John E. Sununu,Government,Second Generation or Higher,124202,John Edward Sununu  is a former Republican  United States Senator from New Hampshire
Cuba,Bert Campaneris,Sports,First Generation,123903,"Dagoberto ""Bert"" Campaneris Blanco , nicknamed ""Campy"", is a Cuban American former professional baseball player"
Cuba,Yasiel Puig,Sports,First Generation,123574,Yasiel Puig Vald_s  is a Cuban professional baseball outfielder for the Los Angeles Dodgers of Major League Baseball 
Cuba,Mercedes Ruehl,Arts/Entertainment,Second Generation or Higher,123533,"Mercedes J  Ruehl  is an American theater, television, and film actress"
Cuba,David Rivera,Government,Second Generation or Higher,121200,David Mauricio Rivera  was the U
Cuba,Yoenis Cespedes,Sports,First Generation,121050,Yoenis C_spedes Milan_s  is a Cuban professional baseball outfielder for the Detroit Tigers of Major League Baseball 
Cuba,Brett Ratner,Arts/Entertainment,First Generation,120582,Brett Ratner  is an American filmmaker and music video director
Cuba,Rosario Dawson,Arts/Entertainment,Second Generation or Higher,120374,"Rosario Dawson  is an American actress, singer, and writer"
Cuba,Belkys Nerey,Media/Journalism,Second Generation or Higher,120032,"WSVN, channel 7, is a Fox-affiliated television station located in Miami, Florida, United States, locally owned by Sunbeam Television"
Cuba,Achy Obejas,Literature,First Generation,119047,"Achy Obejas  is a Cuban American writer and journalist focused on personal and national identity issues, living in Oakland, California"
Cuba,John H. Sununu,Government,Second Generation or Higher,117301,John Henry Sununu  served as the 75th Governor of New Hampshire  and later White House Chief of Staff under President George H
Cuba,Pedro Zamora,Arts/Entertainment,First Generation,117126,Pedro Pablo Zamora  was a Cuban-American AIDS educator and television personality
Cuba,Nick Castellanos,Sports,Second Generation or Higher,115650,"Nicholas A  ""Nick"" Castellanos  is an American professional baseball third baseman and outfielder for the Detroit Tigers of Major League Baseball "
Cuba,Desi Arnaz,Arts/Entertainment,First Generation,114371,"Desiderio Alberto Arnaz y de Acha III , better known as Desi Arnaz or Desi Arnaz, Sr"
Cuba,Soledad O'Brien,Media/Journalism,First Generation,113223,"MarÍa de la Soledad Teresa O'Brien  is an American broadcast journalist, executive producer, and philanthropist"
Cuba,Irene Cara,Arts/Entertainment,Second Generation or Higher,112591,"Irene Cara  is an American singer, songwriter and actress"
Cuba,Cesar Romero,Arts/Entertainment,First Generation,111708,
Cuba,Mike Cuellar,Sports,Second Generation or Higher,109762,"Miguel çngel Cuellar Santana  [KWAY-ar] was a Cuban left-handed starting pitcher who spent fifteen seasons in Major League Baseball  with the Cincinnati Reds, St"
Cuba,Arsenio Rodriguez,Arts/Entertainment,Second Generation or Higher,109073,"Arsenio RodrÍguez  was a Cuban musician, composer and bandleader"
Cuba,Eva Mendes,Arts/Entertainment,First Generation,107595,"Eva Mendes  is an American actress, model, singer and designer"
Cuba,Luis Tiant,Sports,First Generation,104811,"Luis Clemente Tiant Vega , born November 23, 1940 in Marianao, Cuba, , is a former Major League Baseball  right-handed starting pitcher"
Cuba,Manuel Carbonell,Arts/Entertainment,First Generation,104166,Manuel Carbonell  was regarded as the last of the Cuban Master Sculptors
Cuba,Jorge Masvidal,Sports,First Generation,102502,Jorge Masvidal  is an American mixed martial artist currently competing in the UFC's lightweight division
Cuba,George A. Romero,Arts/Entertainment,First Generation,102438,"George Andrew Romero  is an American-Canadian film director, film producer, screenwriter and editor, best known for his series of gruesome and satirical horror films about a hypothetical zombie apocalypse, beginning with Night of the Living Dead "
Cuba,Joe Quesada,Business/Technology,First Generation,101170,"Joseph ""Joe"" Quesada  is an American comic book editor, writer and artist"
Cuba,Oscar Isaac,Arts/Entertainment,Second Generation or Higher,99715,Oscar Isaac  is a Guatemalan-born American actor and singer
Cuba,Jencarlos Canela,Arts/Entertainment,Second Generation or Higher,99151,Jencarlos Canela  is an American actor and award-winning singer-songwriting musician
Cuba,Elieser Castillo,Sports,First Generation,99108,"Elieser Ramos Castillo , is a Cuban professional boxer in the heavyweight division"
Cuba,Bronson Arroyo,Sports,Second Generation or Higher,98672,Bronson Anthony Arroyo  is an American professional baseball pitcher for the Arizona Diamondbacks of Major League Baseball
Cuba,Celia Cruz,Arts/Entertainment,First Generation,97427,÷rsula Hilaria Celia de la Caridad Cruz Alfonso also known by her stage name Celia Cruz  was a Cuban-American salsa singer/performer
Cuba,Brook Lopez,Sports,First Generation,97311,Brook Lopez  is an American professional basketball player who currently plays for the Brooklyn Nets of the National Basketball Association 
Cuba,Bobby Cannavale,Arts/Entertainment,Second Generation or Higher,96926,"Robert ""Bobby"" Cannavale  is an American actor known for his leading role as Bobby Caffey in the first two seasons of the television series Third Watch"
Cuba,John Carlos,Sports,Second Generation or Higher,96288,John Wesley Carlos  is a former track and field athlete and professional football player
Cuba,Yunel Escobar,Sports,First Generation,94773,Yunel Escobar Almenares  is a Cuban professional baseball shortstop with the Washington Nationals of Major League Baseball 
Cuba,Al Jourgensen,Arts/Entertainment,First Generation,94329,"Alejandro RamÍrez ""Al"" Jourgensen , is a Cuban-American musician best known as the founder and frontman of the industrial metal band Ministry"
Cuba,Carlos Gutierrez,Business/Technology,First Generation,93446,Carlos Miguel Gutierrez  is an American former CEO and former U
Cuba,James Devereux,Government,First Generation,93440,"James Patrick Sinnott Devereux  was a United States Marine Corps general, Navy Cross recipient, and Republican congressman"
Cuba,"James ""Chico"" Hernandez",Sports,Second Generation or Higher,92769,"James ""Chico"" Hernandez  is an accomplished athlete in the sport of Sambo and a seven-time member of the Team USA National Team"
Cuba,Marcos A. Rodriguez,Business/Technology,First Generation,91797,"Marcos A  Rodriguez  is a Cuban-American entrepreneur, movie producer, businessperson and investor"
Cuba,Kendrys Morales,Sports,First Generation,91035,Kendrys Morales Rodriguez  is a Cuban professional baseball first baseman and designated hitter for the Kansas City Royals of Major League Baseball 
Cuba,Steven Bauer,Arts/Entertainment,Second Generation or Higher,90750,Steven Bauer  is a Cuban-American actor
Cuba,Tico Torres,Arts/Entertainment,Second Generation or Higher,89508,"H_ctor Samuel Juan ""Tico"" Torres  is an American drummer and percussionist for the rock band Bon Jovi"
Cuba,Pablo Morales,Sports,Second Generation or Higher,88941,
Cuba,Bob Martinez,Government,Second Generation or Higher,88645,"Robert ""Bob"" Martinez  was the 40th Governor of Florida from 1987 to 1991; he was the first person of Spanish ancestry to be elected to the state's top office"
Cuba,Yuniesky Betancourt,Sports,First Generation,87861,Yuniesky Betancourt P_rez  is a Cuban professional baseball shortstop
Cuba,Rick Sanchez,Media/Journalism,First Generation,87657,"Ricardo ""Rick"" Sˆnchez , known professionally as Rick Sanchez, is a Cuban-American journalist, radio host, and author"
Cuba,Adalberto Jordan,Government,Second Generation or Higher,87603,Adalberto Jose Jordan  is an Appeals Court Judge for the United States Court of Appeals for the Eleventh Circuit
Cuba,Jorge Garcia,Arts/Entertainment,First Generation,87531,Jorge Garcia  is an American actor and comedian
Cuba,Alex Castellanos,Government,First Generation,85573,"Alejandro ""Alex"" Castellanos  is a Cuban American political consultant"
Cuba,Syesha Mercado,Arts/Entertainment,Second Generation or Higher,85141,"Syesha Raquel Mercado  is an American singer, songwriter, actress and model"
Cuba,Eddie Cibrian,Arts/Entertainment,Second Generation or Higher,84943,"Edward Carl ""Eddie"" Cibrian  is an American actor"
Cuba,Jon Secada,Arts/Entertainment,First Generation,84714,Jon Secada  is a Cuban American singer and songwriter
Cuba,Mercedes de Acosta,Arts/Entertainment,Second Generation or Higher,84691,"Mercedes de Acosta  was an American poet, playwright, and novelist"
Cuba,Ana Mendieta,Arts/Entertainment,First Generation,84411,"Ana Mendieta  was a Cuban American performance artist, sculptor, painter and video artist who is best known for her ""earth-body"" art work"
Cuba,B Real,Arts/Entertainment,Second Generation or Higher,83258,"Louis Freese , better known by his stage name B-Real, is an American rapper, and a film and TV actor"
Cuba,Nayer,Arts/Entertainment,Second Generation or Higher,82344,"Nayer Regalado , better known by the mononym Nayer , is an American pop singer"
Cuba,Paquito D'Rivera,Arts/Entertainment,First Generation,82180,"Paquito D'Rivera  is a alto saxophonist, clarinetist and soprano saxophonist"
Cuba,Robin Lopez,Sports,First Generation,81528,Robin Byron Lopez  is an American professional basketball player who currently plays for the Portland Trail Blazers of the National Basketball Association 
Cuba,A. J. McLean,Arts/Entertainment,Second Generation or Higher,81364,
Cuba,Gina Torres,Arts/Entertainment,Second Generation or Higher,80906,Gina Torres  is an American television and movie actress
Cuba,Cookie Rojas,Sports,First Generation,80303,"Octavio VÍctor Rojas Rivas [Cookie]  is a former Major League Baseball second baseman and outfielder who played for the Cincinnati Reds, Philadelphia Phillies, St"
Cuba,Robert C. Goizueta,Business/Technology,First Generation,79542,"Roberto CrÍspulo Goizueta  was Chairman, Director, and Chief Executive Officer  of The Coca-Cola Company from August 1980 until his death in October 1997"
Cuba,Danny Boggs,Government,First Generation,79347,Danny Juliˆn Boggs  is a Judge on the United States Court of Appeals for the Sixth Circuit
Cuba,Osvaldo Alonso,Sports,First Generation,79279,Osvaldo Alonso Moreno  is a Cuban footballer who currently plays for Seattle Sounders FC in Major League Soccer
Cuba,Janette Manrara,Arts/Entertainment,Second Generation or Higher,77426,"This is a list of finalists from the fifth season of So You Think You Can Dance , a television program"
Cuba,Alex Avila,Sports,Second Generation or Higher,77139,"Alexander Thomas ""Alex"" Avila  is an American professional baseball catcher for the Detroit Tigers of Major League Baseball "
Cuba,Carlos Ponce,Arts/Entertainment,Second Generation or Higher,76894,"Carlos Ponce  is a Puerto Rican actor, singer, composer and television personality"
Cuba,Camilo Pascual,Sports,First Generation,76262,Camilo Alberto  Pascual  is a former Major League Baseball right-handed pitcher
Cuba,Joanna Garcia,Arts/Entertainment,Second Generation or Higher,75620,"Joanna Lynne GarcÍa , also known professionally as Joanna Garcia Swisher, is an American actress"
Cuba,Paula Fox,Literature,Second Generation or Higher,75119,Paula Fox  is an American writer of novels for adults and children and of two memoirs
Cuba,Bob Vila,Arts/Entertainment,Second Generation or Higher,74231,"Robert Joseph ""Bob"" Vila  is an American home improvement television show host known for This Old House , Bob Vila's Home Again , and Bob Vila "
Cuba,Jon Jay,Sports,Second Generation or Higher,74184,Jonathan Henry Jay  is an American professional baseball outfielder for the St
Cuba,Vincent Prieto,Government,First Generation,73963,"Vincent Prieto  is an American Democratic Party politician, who has served as the 170th Speaker of the New Jersey General Assembly since January 14, 2014"
Cuba,Eliseo Castillo,Sports,Second Generation or Higher,73540,Eliseo Castillo  is a professional boxer
Cuba,Nestor Carbonell,Arts/Entertainment,Second Generation or Higher,73220,"Nestor Gast„n Carbonell  is an American actor, known for portraying Richard Alpert in ABC's drama Lost and Mayor Anthony Garcia in the films The Dark Knight and The Dark Knight Rises"
Cuba,Anthony Gonzalez,Sports,Second Generation or Higher,73110,Anthony E  Gonzalez  is a former American football wide receiver
Cuba,Oscar Hijuelos,Literature,First Generation,72791,Oscar Jerome Hijuelos  was an American-born novelist of Cuban descent
Cuba,Mel Ferrer,Arts/Entertainment,Second Generation or Higher,72724,"Mel Ferrer  was an American actor, film director and film producer"
Cuba,Neil Lomax,Sports,Second Generation or Higher,72405,Neil Vincent Lomax  is a former American football quarterback
Cuba,Johnny Goudie,Arts/Entertainment,First Generation,72216,"John Charles ""Johnny"" Goudie  is a Cuban-American singer, songwriter, multi-instrumental musician, record producer, actor, and podcaster based in Austin, Texas"
Cuba,Jeanine Mason,Arts/Entertainment,Second Generation or Higher,71521,"Jeanine Marie Mason  is an American actress and dancer best known for her role as Cozzette on ABC Familyês Bunheads, and for winning the 5th season of the Fox television show So You Think You Can Dance"
Cuba,P,Arts/Entertainment,Second Generation or Higher,71210,P  is the 16th letter of the ISO basic Latin alphabet
Cuba,Danell Leyva,Sports,First Generation,70559,Danell Johan Leyva  is a Cuban-American gymnast
Cuba,Daisy Fuentes,Arts/Entertainment,First Generation,70310,Daisy Fuentes  is a Cuban American television host and model
Cuba,Alisa Valdes,Literature,Second Generation or Higher,69529,"Alisa Valdes  is an American author, journalist, and film producer, known for her bestselling novel, The Dirty Girls Social Club"
Cuba,Eva Golinger,Media/Journalism,First Generation,68907,"Eva Golinger  is an American-born attorney and naturalized Venezuelan citizen who edits the Correo del Orinoco International, a web- and print-based newspaper which is financed by the Venezuelan government"
Cuba,Al Montoya,Sports,Second Generation or Higher,68848,"çlvaro ""Al"" Montoya  is an American professional ice hockey goaltender currently playing for the Florida Panthers of the National Hockey League "
Cuba,Felix Sabates,Business/Technology,First Generation,68762,F_lix Sabates  is a Cuban-born entrepreneur and philanthropist living in the United States
Cuba,Ariana Barouk,Arts/Entertainment,First Generation,68322,"Ariana Barouk is a TV host, actress, model, fashion/event correspondent and singer, who represented Cuba in the seventh edition of the environmentally oriented Miss Earth 2007 International Beauty Pageant"
Cuba,Emilio Estefan,Arts/Entertainment,Second Generation or Higher,67920,Emilio Estefan G„mez  is a Cuban-American musician and producer who has won 19 Grammy Awards
Cuba,Maria Elena Milagro de Hoyos,Arts/Entertainment,First Generation,67870,"Carl Tanzler, or sometimes Count Carl von Cosel , was a German-born radiologic technologist at the United States Marine Hospital in Key West, Florida who developed a morbid obsession for a young Cuban-American tuberculosis patient, Elena Milagro ""Helen"" de Hoyos , that carried on well after the disease had caused her death"
Cuba,Dan Le Batard,Media/Journalism,Second Generation or Higher,67860,"Dan Le Batard  is an American newspaper sportswriter, radio host, and television reporter based out of Miami, Florida He is best known for his work for his hometown paper, the Miami Herald, for whom he has worked since 1990, and his work with ESPN"
Cuba,Martika,Arts/Entertainment,Second Generation or Higher,67007,"Marta Marrero , known as Martika, is an American singer-songwriter and actress, who released two internationally successful albums in the late 1980s and early 1990s, selling over four million copies worldwide"
Cuba,Rachel Campos,Arts/Entertainment,Second Generation or Higher,66799,"Rachel Campos-Duffy  is an American television personality who first gained fame in 1994 as a cast member on the MTV reality television series The Real World: San Francisco, before becoming a TV host, most notably as a recurring guest host on the ABC talk show The View"
Cuba,Odette Annable,Arts/Entertainment,Second Generation or Higher,66616,Odette Juliette Annable  is an American actress
Cuba,Sergio Oliva,Sports,First Generation,65719,"Sergio Oliva  was a bodybuilder known as ""The Myth"""
Cuba,Tonedeff,Arts/Entertainment,Second Generation or Higher,65713,
Cuba,Nona Gaye,Arts/Entertainment,Second Generation or Higher,65347,"Nona Marvisa Gaye  is an American singer, former fashion model, and actress"
Cuba,Olivia Longott,Arts/Entertainment,Second Generation or Higher,64842,"Olivia Theresa Longott , professionally known as Olivia, is an American R&amp;B singer best known for contributing vocals to 50 Cent's hit single ""Candy Shop"" and her debut album Olivia"
Cuba,Paul Masvidal,Arts/Entertainment,First Generation,63948,"Paul Albert Masvidal  is the guitarist, singer and a founding member of the progressive metal band Cynic and previously led the alternative rock band ¬on Spoke"
Cuba,Ryan Freel,Sports,Second Generation or Higher,63830,Ryan Paul Freel  was an American professional baseball player
Cuba,Reynaldo Arenas,Literature,First Generation,63637,"Reinaldo Arenas  was a Cuban poet, novelist, and playwright who despite his early sympathy for Fidel Castro and the 1959 revolution, grew critical of and then rebelled against the Cuban government"
Cuba,Rosa Lowinger,Literature,First Generation,63185,Rosa Lowinger is a noted Cuban-born American art conservator
Cuba,Manny Alvarez,Media/Journalism,Second Generation or Higher,62493,
Cuba,Juan Croucier,Arts/Entertainment,First Generation,62019,Juan Croucier  is a Cuban-American heavy metal musician
Cuba,George Reyes,Business/Technology,Second Generation or Higher,61993,George Reyes is the former CFO of Google
Cuba,Chano Pozo,Arts/Entertainment,Second Generation or Higher,61868,"Luciano Pozo Gonzˆlez, better known as Chano Pozo  was an Afro-Cuban jazz percussionist, singer, dancer and composer"
Cuba,Mercedes O. Cubria,Military,First Generation,61183,Lieutenant Colonel Mercedes O
Cuba,Janu Tornell,Arts/Entertainment,First Generation,60990,Janu Tornell  is an American reality show contestant and former Las Vegas showgirl and beauty pageant contestant of Cuban descent
Cuba,Nelson De La Nuez,Arts/Entertainment,First Generation,60626,"Nelson De La Nuez  in Havana, Cuba, is an American Contemporary Pop Artist and visual satirist"
Cuba,Eric Eichmann,Sports,Second Generation or Higher,60525,Eric Eichmann  is a retired American soccer player
Cuba,Carlos Juan Finlay,Academia/Science,First Generation,60299,Carlos Juan Finlay  was a Hispanic-Cuban physician and scientist recognized as a pioneer in the research of yellow fever
Cuba,Lucie Arnaz,Arts/Entertainment,Second Generation or Higher,60287,"Lucie D_sir_e Arnaz  is an American actress, singer, dancer, and producer"
Cuba,La Lupe,Arts/Entertainment,Second Generation or Higher,59924,"La Lupe  , was a Cuban singer of several musical genres: boleros, guarachas and Latin soul in particular"
Cuba,Arturo Sandoval,Arts/Entertainment,First Generation,59686,"Arturo Sandoval  is a Cuban jazz trumpeter, pianist and composer"
Cuba,Sean Rodriguez,Sports,First Generation,59329,Sean John Rodriguez  is an American professional baseball player with the Pittsburgh Pirates of Major League Baseball 
Cuba,Agustin Gainza,Arts/Entertainment,Second Generation or Higher,59065,AgustÍn GaÍnza Vicandi  was a Spanish football forward and manager
Cuba,Sen Dog,Arts/Entertainment,First Generation,58882,"Sen Dog   is a Cuban-American rapper, and a member of rap group Cypress Hill"
Cuba,Otto Reich,Government,First Generation,58766,"Otto Juan Reich , a Cuban-American, is former senior official in the administrations of Presidents Ronald Reagan, George H"
Cuba,Armando Valladares,Literature,First Generation,58083,"Armando Valladares Perez  is a Cuban poet, diplomat, and human rights activist"
Cuba,Antonio Mora,Media/Journalism,First Generation,57965,Antonio Mora  is a multiple Emmy Award winning journalist and television news anchor
Cuba,Aida de Acosta,Academia/Science,First Generation,57900,Aida de Acosta Root Breckinridge  was an American socialite and the first woman to fly a powered aircraft solo
Cuba,Raul L. Martinez,Government,Second Generation or Higher,57515,"Raìl L  MartÍnez  is a former mayor of Hialeah, Florida, United States"
Cuba,Desi Arnaz Jr.,Arts/Entertainment,Second Generation or Higher,57194,"Desi Arnaz Jr   is an American actor and musician, the son of entertainers Lucille Ball and Desi Arnaz and the brother of actress Lucie Arnaz"
Cuba,Angela Bofill,Arts/Entertainment,First Generation,57111,Angela Tomasa Bofill  is an American R&amp;B and jazz singer and songwriter
Cuba,Jorge Mas Canosa,Business/Technology,Second Generation or Higher,56884,"Jorge Mas Canosa  was a Cuban American immigrant who founded the Cuban-American National Foundation and MasTec, a publicly traded company"
Cuba,Dr. Modesto A. Maidique,Academia/Science,First Generation,56883,"Dr  Modesto Alex ""Mitch"" Maidique  was the fourth president of Florida International University , a public university in the United States"
Cuba,Scott Herren,Arts/Entertainment,First Generation,56395,"Guillermo Scott Herren is a producer who has been based in Atlanta, Barcelona and New York"
Cuba,Juanita Castro,Other,First Generation,55055,Juana de la Caridad  Castro Ruz  is a sister of former Cuban President Fidel Castro and current President Raìl Castro
Cuba,Robert Andino,Sports,First Generation,55038,Robert Lazaro Andino  is a Cuban-American professional baseball infielder for the Somerset Patriots of the Atlantic League of Professional Baseball
Cuba,Cecilia Altonaga,Government,Second Generation or Higher,54814,Cecilia Maria Altonaga  is a Florida United States district court judge
Cuba,Mario Bauza,Arts/Entertainment,Second Generation or Higher,54739,Mario Bauzˆ  was a Afro-Cuban jazz musician
Cuba,Jorge Bolet,Arts/Entertainment,First Generation,54702,Jorge Bolet  was a Cuban-born American pianist and teacher
Cuba,Henry Gutierrez,Sports,Second Generation or Higher,54654,"Hendrig ""Henry"" Gutierrez  is a retired American soccer player who began his career in the lower French divisions before finishing it in the United States"
Cuba,Alex Ochoa,Sports,Second Generation or Higher,54573,Alex Ochoa  is a Cuban American professional baseball coach and former Major League Baseball and Nippon Professional Baseball outfielder
Cuba,Robert Gant,Arts/Entertainment,First Generation,54551,Robert Gant  is an American actor
Cuba,Roberto Arango,Government,First Generation,54133,Roberto Arango-Vinent is an Cuban American politician who served as a member of the Senate of Puerto Rico from January 2005 until August 2011
Cuba,Enrique Murciano,Arts/Entertainment,Second Generation or Higher,54096,Enrique Ricardo Murciano  is an American actor and producer
Cuba,Albert Siu,Academia/Science,First Generation,53758,"Albert Siu, is an internist and geriatrician and the Ellen and Howard C"
Cuba,Orestes Destrade,Sports,First Generation,53674,"Orestes Cucuas Destrade , is a former professional baseball infielder"
Cuba,Frank Ferrer,Arts/Entertainment,First Generation,53572,Frank Ferrer  is an American rock drummer and session musician
Cuba,Coco Fusco,Arts/Entertainment,Second Generation or Higher,53567,Coco Fusco  is a Cuban-American interdisciplinary artist and writer
Cuba,Esther Salas,Government,Second Generation or Higher,53449,"Esther Salas  is a federal district judge for the United States District Court for the District of New Jersey sitting in Newark, New Jersey"
Cuba,Adam Irigoyen,Arts/Entertainment,Second Generation or Higher,53309,"Adam Irigoyen  is an American actor, singer, rapper and dancer"
Cuba,Xavier Cugat,Arts/Entertainment,Second Generation or Higher,53202,"Xavier Cugat  was a Spanish-American bandleader who spent his formative years in Havana, Cuba"
Cuba,Tony Plana,Arts/Entertainment,First Generation,53088,Tony Plana  is a Cuban-American actor and director
Cuba,Manny Puig,Other,First Generation,52629,"Manny ""Sharkman"" Puig  is an American wildlife entertainer"
Cuba,Amile Waters,Media/Journalism,First Generation,52549,"Amile Waters  is a Head Sports Editor/Columnist, Radio Personality and an avid painter of the ""Dark Metal"" arts"
