Source Country,Field Of Influence,Name,Influence,log(influence),Description,Unknown
China,Sports,Chau Giang,93614,4.251027632,"Chau Tu Giang  is a Vietnamese-born American professional poker player of Chinese descent, who is a three-time World Series of Poker bracelet winner and a three-time final tablist of the World Poker Tour with over $3 million in live tournament winnings alone",258
China,Sports,John Juanda,93305,4.248973345,"Johnson ""John"" Juanda  is an Indonesian-born American professional poker player based in Marina del Rey, California",115
China,Arts/Entertainment,Carmit Bachar,93261,4.248680272,"Carmit Bachar  is an American singer, dancer, model, actress and showgirl",73
China,Sports,Amy Chow,93207,4.248320402,"Amy Yuen Yee Chow  is a retired American gymnast and a member of the famous Magnificent Seven, the first American team to win Olympic gymnastics gold",149
China,Government,Hiram L. Fong,93160,4.248007012,"Hiram Leong Fong , born Yau Leong Fong , was an American businessman and politician from Hawaii",95
China,Business/Technology,David T. Hon,92646,4.244569373,,0
China,Arts/Entertainment,Brandon Lee,92339,4.242507044,Brandon Bruce Lee  was an American actor and martial artist,59
China,Arts/Entertainment,Meg Tilly,92309,4.242305146,Meg Tilly  is a Canadian-American actress and novelist,54
China,Arts/Entertainment,Keye Luke,91828,4.239059054,Keye Luke  was a Chinese-born American actor,44
China,Arts/Entertainment,Julie Chen,91495,4.236801784,"Julie Suzanne Chen Moonves  is an American television personality, news anchor, and producer for CBS",100
China,Literature,Gene Luen Yang,89900,4.225874749,Gene Luen Yang  is a Chinese American writer of graphic novels and comics,73
China,Arts/Entertainment,Rosalind Chao,89646,4.224116769,Rosalind Chao ) is an American actress,38
China,Other,Alice S. Huang,88883,4.218805795,Alice S  Huang  is an American biologist specialized in microbiology and virology,81
China,Government,David Wu,88767,4.217994369,David Wu  is an American politician who served as the U,55
China,Arts/Entertainment,Lisa Ling,87325,4.207818041,Lisa J  Ling  is an American journalist and writer,50
China,Arts/Entertainment,B. D. Wong,87294,4.207597431,"Bradley Darryl ""BD"" Wong  is an American actor",46
China,Arts/Entertainment,Leah Dizon,86651,4.203003793,"Leah Dizon  is a former gaijin tarento, singer, and model",57
China,Military,Danny Chen,86262,4.20020817,Danny Chen  was a Chinese-American U,36
China,Literature,Eileen Chang,84885,4.190209787,"Eileen Chang , also known as Zhang Ailing or Chang Ai-ling, was one of the most influential modern Chinese writers",114
China,Government,John Liu,84875,4.190136585,"John Chun Liu  is a New York City politician, who previously served as the 43rd New York City Comptroller from January 1, 2010 ",127
China,Arts/Entertainment,Richard On,84035,4.183956659,,0
China,Arts/Entertainment,Lauren Tom,83879,4.18280216,"Lauren Tom  is an Chinese-American stage, film, television and voice actress",76
China,Other,Henry T. Yang,83492,4.179928819,"Henry Tzu-Yow Yang  is an engineer and educator currently serving as the fifth chancellor of the University of California, Santa Barbara, a post he's held since 1994",165
China,Arts/Entertainment,Vera Wang,83014,4.176361393,Vera Ellen Wang  is an American fashion designer based in New York City and former figure skater,96
China,Arts/Entertainment,Jaycee Chan,82942,4.17582226,Jaycee Chan Jo-ming  is an American-born Hong Kong actor and singer,67
China,Arts/Entertainment,Connie Chung,82750,4.174382283,"Constance Yu-Hwa Chung Povich  better known as Connie Chung, is an American journalist",86
China,Sports,Julie Chu,82428,4.171959804,Julie Wu Chu  is an American Olympic ice hockey player who plays the position of forward on the United States women's ice hockey team and the position of defense on the Montreal Stars,183
China,Other,Chang and Eng Bunker,82331,4.171228196,"Chang  and Eng  Bunker  were Thai-American conjoined twin brothers whose condition and birthplace became the basis for the term ""Siamese twins""",143
China,Arts/Entertainment,Kevin Cheng,82080,4.169331058,Kevin Cheng Ka-wing  is a Hong Kong American actor and singer who is currently under the management of the Hong Kong television network TVB,139
China,Arts/Entertainment,Anna Chen Chennault,81539,4.165222202,"Anna Chennault, born Chen Xiangmei , also known as Anna Chan Chennault or Anna Chen Chennault, is the widow of World War II leader Lieutenant General Claire Lee Chennault, commander of American air operations in China",217
China,Arts/Entertainment,Janel Parrish,81355,4.163818521,"Janel Parrish  is an American actress, dancer, singer and songwriter",68
China,Literature,Amy Tan,80795,4.159526828,Amy Tan  is an American writer whose works explore mother-daughter relationships and the Chinese-American experience,116
China,Arts/Entertainment,CoCo Lee,80770,4.159334542,"Coco Lee  is a Hong Kong-born American singer-songwriter, record producer, dancer, and actress",94
China,Military,Francis B. Wai,78781,4.143842327,Francis Brown Wai  was a captain in the United States Army and received the Medal of Honor for actions during the recapture of the Philippines from Japan in 1944,161
China,Arts/Entertainment,Melissa Lee,77746,4.135625329,Melissa Ji-Yun Lee   is a New Zealand politician,48
China,Arts/Entertainment,William Hung,77195,4.131206137,"William James Hung , also known as Hung Hing Cheong, is a Hong Kong-born American singer who gained fame in early 2004 as a result of his off-key audition performance of Ricky Martin's hit song ""She Bangs"" on the third season of the television series American Idol",264
China,Other,Chang Yi Wang,77169,4.13099683,"Chang Yi Wang , is an immunologist and astute organic chemist, best known for establishing a new platform in vaccines technology that employs designer peptide as key ingredients to be formulated into vaccines for the prevention and treatment of AIDS, HIV, Alzheimer disease, allergy and other emerging infectious diseases in both humans and animals",348
China,Arts/Entertainment,George Hu,76845,4.128382616,"George Hu  born on July 24, 1982 in New York City, New York",59
China,Arts/Entertainment,Timothy Tau,76732,4.127468275,Timothy Tau is an American writer and filmmaker,47
China,Arts/Entertainment,Vanness Wu,76535,4.125871023,"Vanness Wu  is an American actor, singer, director, and producer",64
China,Arts/Entertainment,Iris Chang,76523,4.125773595,Iris Shun-Ru Chang  was an American journalist,46
China,Government,Jay Chen,76383,4.124635812,"Jay F  Chen  is a Taiwanese-American Democratic politician, known as a member and president of the Board of Education of the Hacienda La Puente Unified School District in Southern California, and as a candidate for election in 2012 in California's 39th Congressional District",275
China,Other,Crystal Lee,76278,4.123781106,"Crystal Lee is an American beauty queen who was Miss California 2013, the first runner-up in the Miss America 2014 pageant, Miss Chinatown USA 2010, and Miss California Outstanding Teen 2008",190
China,Business/Technology,Oscar Tang,75573,4.11801171,"Oscar L  Tang  is a Chinese-born American financier who is notable as the first leading Chinese-American philanthropist for education and arts and culture, for which he was elected as a fellow of the American Academy of Arts and Sciences in 2005",245
China,Business/Technology,Wendi Deng,75237,4.115243075,Wendi Deng Murdoch  is a Chinese-born American businesswoman,60
China,Arts/Entertainment,Ming-Na Wen,75228,4.115168746,"Ming-Na Wen ; born November 20, 1963) is a Macau-born American actress",70
China,Arts/Entertainment,Carrie Ann Inaba,74749,4.111199864,"Carrie Ann Inaba  is an American dancer, choreographer, television dance competition judge, actress, game show host, and singer",127
China,Other,Ching W. Tang,74670,4.110542847,Ching W  Tang  is an American physical chemist,46
China,Arts/Entertainment,Xu Bing,74427,4.108517527,Xu Bing  is a Chinese-born artist who lived in the United States for eighteen years,83
China,Government,Margaret Chin,74006,4.104992938,Margaret Chin  is a New York City-based American politician,59
China,Arts/Entertainment,Annabel Chong,73810,4.10334519,Annabel Chong  is the former stage name of a Singaporean-born American pornographic film actress who became famous after starring an adult film that was promoted as The World's Biggest Gang Bang,194
China,Arts/Entertainment,Victor Sen Yung,73357,4.099520072,Victor Sen Yung  was an American character actor,48
China,Arts/Entertainment,Only Won,73060,4.096999371,"Only Won  is an American rapper, actor, and stunt performer",59
China,Arts/Entertainment,Eddie Huang,72836,4.095091448,"Edwyn Charles Huang , known as Eddie Huang, is an American restaurateur, chef, food personality, writer, and attorney",117
China,Business/Technology,Tony Hsieh,72780,4.094613551,Tony Hsieh  is an American internet entrepreneur and venture capitalist,71
China,Arts/Entertainment,Laura Ling,72331,4.09076849,Laura G  Ling  is an American journalist and writer,51
China,Other,Harry Wu,72068,4.088505161,Harry Wu  is Chinese human rights activist,42
China,Government,Amy Chua,71434,4.083014939,"Amy L  Chua , is an American lawyer, writer, and legal scholar",62
China,Business/Technology,Fred Chang,71233,4.081264171,,0
China,Other,Leon Chua,70745,4.076992908,"Leon Ong Chua  is an IEEE Fellow and a professor in the electrical engineering and computer sciences department at the University of California, Berkeley, which he joined in 1971",178
China,Arts/Entertainment,Martin Yan,70242,4.07255941,Martin Yan  is a Chinese-born Hong Kong-American chef and food writer,69
China,Sports,Ivana Hong,69082,4.062212806,Ivana Hong  is an American artistic gymnast,43
China,Other,Andrew Yao,68851,4.060131672,Andrew Chi-Chih Yao  is a Chinese American computer scientist and computational theorist,88
China,Other,Daniel Chee Tsui,68445,4.056456944,Daniel Chee Tsui  is a Chinese-born American physicist whose areas of research included electrical properties of thin films and microstructures of semiconductors and solid-state physics,185
China,Arts/Entertainment,Ken Hom,68145,4.053727597,"Ken Hom OBE  is an American-born Chinese chef, author and television-show presenter for the BBC",95
China,Arts/Entertainment,Vienna Teng,67887,4.051370731,"Cynthia Yih Shih , better known by her stage name Vienna Teng, is a Taiwanese American pianist and singer-songwriter based in Detroit, Michigan",143
China,Other,Yitang Zhang,67511,4.04791983,"Yitang ""Tom"" Zhang  is a Chinese-born American mathematician working in the area of number theory",97
China,Business/Technology,Greg Tseng,67507,4.047883015,"Greg Yuchang Tseng  is an American Internet entrepreneur who was born in Taipei, Taiwan, and raised in Washington, Virginia",123
China,Other,Frank H. Wu,67112,4.044236754,"Frank H  Wu  is a law professor, author, and public intellectual",64
China,Other,Ann Lee,66702,4.040429258,"Mother Ann Lee  was the leader of the United Society of Believers in Christ's Second Appearing, or Shakers",106
China,Government,Lanhee Chen,66477,4.038329821,"Lanhee J  Chen  is the David and Diane Steffy Research Fellow at the Hoover Institution, Director of Domestic Policy Studies and Lecturer in the Public Policy Program at Stanford University, and Lecturer in Law at Stanford Law School",233
China,Arts/Entertainment,Jennifer 8. Lee,65267,4.026916224,Jennifer 8  Lee   is an American journalist who previously worked for The New York Times,88
China,Government,Shien Biau Woo,64844,4.022876203,,0
China,Other,Andrew Lih,64335,4.017979724,"Andrew Lih  is a Chinese American new media researcher, consultant and writer, as well as an authority on both Wikipedia and internet censorship in the People's Republic of China",178
China,Business/Technology,Alfred Lin,64075,4.015463607,Alfred Lin is an American venture capitalist at Sequoia Capital,63
China,Arts/Entertainment,Malese Jow,63909,4.013851817,Malese Jow  is an American actress and singer-songwriter,56
China,Business/Technology,Kim Ng,63546,4.010312604,Kim Ng  is an American executive in Major League Baseball,57
China,Arts/Entertainment,Jason Wu,63466,4.009529894,Jason Wu  is a Taiwanese Canadian fashion designer based in New York City,73
China,Arts/Entertainment,Justin Lo,63429,4.009167557,"Justin Lo  is a Hong Kong American singer-songwriter, actor and record producer working in Hong Kong",100
China,Literature,Maxine Hong Kingston,63399,4.008873615,"Maxine Hong Kingston  is a Chinese American author and Professor Emerita at the University of California, Berkeley, where she graduated with a BA in English in 1962",164
China,Sports,Rudy Gunawan,63378,4.008667772,Rudy Gunawan   is a well-known Indonesian badminton player in the era of the late 1980s and early 1990s,103
China,Government,Allan Fung,62558,4.000576331,"Allan W  Fung   is an American attorney, politician and member of the Republican Party who has served as the Mayor of Cranston, Rhode Island since 2009 and is the Republican nominee for Governor of Rhode Island in the 2014 election",231
China,Arts/Entertainment,Anna Sui,62274,3.997749181,Anna Sui  is an American fashion designer,41
China,Business/Technology,Li Lu,62037,3.995380017,"Li Lu  is a Chinese-born American investment banker, investor and fund manager based in the United States",105
China,Business/Technology,Weili Dai,61969,3.994698586,Weili Dai  is president and co-founder of Marvell Technology Group,66
China,Other,Edward Lu,61526,3.990240874,"Edward Tsang ""Ed"" Lu  is a U",28
China,Arts/Entertainment,Ming Tsai,61243,3.987376338,"Ming Tsai  is an American restaurateur, television personality, and celebrity chef of fusion cuisine",100
China,Arts/Entertainment,Tyson Beckford,61086,3.985781465,"Tyson Beckford  is an American fashion model and actor, best known as a Ralph Lauren Polo model",95
China,Government,Susan C. Lee,60862,3.983498866,Susan Clair Lee  is a member of the Maryland State Senate,57
China,Literature,Ha Jin,60646,3.981289818,J_n Xu_f_i  is a contemporary Chinese-American poet and novelist using the pen name Ha Jin ,91
China,Other,Betty Ong,59982,3.97444944,"Betty Ann Ong  was an American flight attendant onboard American Airlines Flight 11 when it was hijacked and flown into the North Tower of the World Trade Center in New York City, as part of the September 11 attacks",215
China,Literature,Marilyn Chin,59911,3.973713538,"Marilyn Chin  is a prominent Chinese American  poet and writer, an activist  and feminist   , an editor and Professor of English",128
China,Business/Technology,John S. Chen,59816,3.972727514,John S  Chen  is the CEO of BlackBerry Ltd,42
China,Government,Dolly M. Gee,59767,3.972218321,Dolly Maizie Gee  is a United States district judge on the United States District Court for the Central District of California,126
China,Business/Technology,Steve Chen,59340,3.967763316,"Steven Shih ""Steve"" Chen  is a Taiwanese-born American internet entrepreneur",76
China,Arts/Entertainment,Harry Shum,58902,3.963160113,"Heung-Yeung ""Harry"" Shum  is Executive Vice President, Technology &amp; Research at Microsoft",93
China,Arts/Entertainment,Bright Sheng,58864,3.962759136,"Bright Sheng  is a Chinese-American composer, conductor, and pianist",68
China,Arts/Entertainment,JuJu Chan,58186,3.955561019,"JuJu Chan  is a Hong Kong-born American actress, singer, Taekwon-Do  Athlete, and Kung Fu Star",94
China,Other,Frank Shu,58151,3.955187162,"Frank Shu , is an American astrophysicist, astronomer and author",64
China,Literature,Ted Chiang,58101,3.954652689,Ted Chiang  is an American science fiction writer,49
China,Business/Technology,Mun Charn Wong,57769,3.951092082,Mun Charn Wong  was an American businessman,43
China,Arts/Entertainment,Portia Li,57189,3.944822361,"Portia Li  is a senior reporter in the Millbrae, California office of the World Journal, the largest Chinese-language newspaper in the United States",148
China,Arts/Entertainment,Liu Yifei,57057,3.943386577,"Liu Yifei , birth name An Feng , legal name Liu Ximeizi , is a Chinese actress, model and singer",96
China,Arts/Entertainment,Shannon Lee,56744,3.939968711,"Shannon Emery Lee  is an American actress, martial artist and businesswoman",75
China,Literature,Judy Yung,56592,3.938302109,"Judy Yung  is professor emerita in American Studies at the University of California, Santa Cruz",95
China,Sports,Tiffany Chin,56565,3.9380056,Audrey Tiffany Chin  is an American figure skater,49
China,Arts/Entertainment,Janet Hsieh,56414,3.936344732,"Janet Hsieh  is a Taiwanese-American television personality, violinist, author, and model based in Taipei, Taiwan",113
China,Arts/Entertainment,Chiang Nan,55869,3.930313005,"Henry Liu , often known by his pen name Chiang Nan , was a writer and journalist from Taiwan, Republic of China",111
China,Arts/Entertainment,Feodor Chin,55799,3.929534027,"Feodor Chin  is an American actor, writer and director",54
China,Arts/Entertainment,Ken Leung,55702,3.928452969,"Kenneth ""Ken"" Leung  is an American actor who is best known for his role as Miles Straume in the ABC television series Lost and roles in such films as Shanghai Kiss, Rush Hour, X-Men: The Last Stand, and Saw",207
China,Arts/Entertainment,Gwendoline Yeo,55597,3.927280628,"Gwendoline See-Hian Yeo  is a Singaporean-born American actress, and musician, best known for her recurring guest-star role as Xiao-Mei in the hit television series Desperate Housewives, and as Dr",196
China,Government,Peter Koo,55513,3.92634116,Peter Koo  is a New York City-based American politician,55
China,Other,Huping Ling,55509,3.926296388,"Huping Ling   is a Professor of History, the founder of the Asian Studies Program, and the past department chair at Truman State University",139
China,Arts/Entertainment,Michelle Krusiec,55404,3.925119967,"Michelle J  Krusiec  is a Taiwanese American actress, writer and producer",73
China,Other,Min Chiu Li,55156,3.922332498,Min Chiu Li  was a Chinese-American oncologist and cancer researcher,68
China,Other,Wong Chin Foo,54826,3.918603867,"Wong Chin Foo  was a Chinese-American activist, journalist, lecturer, and writer, one of the most prolific Chinese writers in the San Francisco press of the 19th century",169
China,Business/Technology,Yishan Wong,54801,3.918320481,"Yishan Wong  is the former CEO of Reddit, a co-founder at Mountain View coworking space Sunfire Offices, and an advisor at Quora",128
China,Other,Thomas W. Chinn,54796,3.918263788,Thomas Withers Chinn  was a member of the U,43
China,Literature,Yiyun Li,54786,3.918150387,Yiyun Li   is a Chinese American writer,39
China,Other,Xiaodong Wang,54708,3.917265149,Xiaodong Wang  is a Chinese-born American biochemist best known for his work with cytochrome c,94
China,Arts/Entertainment,Jason Scott Lee,54426,3.914054109,Jason Scott Lee  is an American actor and martial artist,56
China,Arts/Entertainment,Goh Choo San,54236,3.911881247,"Goh Choo San , ballet dancer and choreographer, was son of Kim Lok Goh, a merchant, and Siew Han Ch’ng",102
China,Business/Technology,Gerald Tsai,54173,3.911159091,,0
China,Other,Wayne Lo,53984,3.908987573,"Wayne Lo  is a Taiwanese-born American murderer who perpetrated the shooting at Simon's Rock College of Bard on December 14, 1992, in Great Barrington, Massachusetts",165
China,Literature,Laurence Yep,53758,3.906380941,"Laurence Michael Yep  is a prolific Chinese-American writer, best known for children's books",92
China,Arts/Entertainment,May Sun,53488,3.903252418,May Sun  is a Los Angeles-based artist known primarily for her public art projects,82
China,Arts/Entertainment,Kristina Wong,53454,3.902857336,"Kristina Wong is an American comedian known primarily for her work as a solo theater performer, artist and actor",112
China,Other,Him Mark Lai,53382,3.902019864,"Him Mark Lai   was an internationally renowned activist and historian of Chinese America, a highly respected leader of the community, and prolific writer",153
China,Military,James Yee,53325,3.901356063,James J  Yee   is an American former United States Army chaplain with the rank of captain,89
China,Arts/Entertainment,Chuti Tiu,52782,3.894996674,"Chuti Tiu is an American actress of Chinese, Filipina and Spanish descent",73
China,Arts/Entertainment,Mel Chin,52760,3.894737643,Mel Chin  is a conceptual visual artist,39
China,Arts/Entertainment,Al Young,52667,3.89364145,"Al Young  is an American poet, novelist, essayist, screenwriter, and professor",78
China,Sports,Mark Chung,52633,3.893240208,Mark Chung is an American former soccer midfielder who played ten seasons in Major League Soccer,96
China,Arts/Entertainment,Wayne Wang,52563,3.892413305,Wayne Wang  is a Hong Kong-born American film director,54
China,Arts/Entertainment,Russell Wong,52553,3.892295086,Russell Girard Wong  is an American actor as well as the brother of actor/model Michael Wong,92
China,Sports,Ed Wang,52356,3.889961575,Edward Kai Wang  is an American football offensive tackle who is currently a free agent,87
China,Government,Wilma Chan,52220,3.888345495,Wilma Chan  is a politician in California serving on the Alameda County Board of Supervisors,92
China,Literature,Adeline Yen Mah,52090,3.886796773,Adeline Yen Mah  is a Chinese-American author and physician,59
China,Arts/Entertainment,Sheryl WuDunn,52055,3.886379149,"Sheryl WuDunn  is an American business executive, writer, lecturer, and Pulitzer Prize winner",93
China,Business/Technology,An Wang,51919,3.884753712,"Dr  An Wang  was a Chinese American computer engineer and inventor, and co-founder of computer company Wang Laboratories, which was known primarily for its dedicated word processing machines",190
China,Arts/Entertainment,Archie Kao,51561,3.880454547,Archie David Kao  is an American actor,38
China,Other,Yung Wing,51413,3.878668511,Yung Wing  was the first Chinese student to graduate from a United States university ,85
China,Arts/Entertainment,Michaela Conlin,51361,3.878039764,"Michaela Conlin  is an American actress, best known for her role as Angela Montenegro on the Fox crime procedural comedy-drama Bones",132
China,Other,Min Chueh Chang,51336,3.877737255,"Dr  Min Chueh Chang , often credited as M",41
China,Government,Morgan Chu,51078,3.874606731,"Morgan Chu , an intellectual property attorney, is one of the first Asian Americans to lead a major U",101
China,Government,Norman Bay,50903,3.8724743,Norman C  Bay  is a former United States Attorney for the District of New Mexico,80
