Source Country,Name,Field Of Influence,Generation,Influence,Description
Vietnam,Nam Phan,Sports,Second Generation or Higher,106756,Nhat Nam Si Phan  is an American mixed martial artist who competes for Bellator MMA
Vietnam,Lee Nguyen,Sports,Second Generation or Higher,103330,"Lee Nguy_n , born October 7, 1986) is an American soccer midfielder for the New England Revolution in Major League Soccer"
Vietnam,Jacqueline H. Nguyen,Government,Second Generation or Higher,95435,Jacqueline Hong-Ngoc Nguyen  is a United States Circuit Judge for the United States Court of Appeals for the Ninth Circuit
Vietnam,Jane Luu,Academia/Science,First Generation,86267,
Vietnam,Nhuan Xuan Le,Media/Journalism,First Generation,86021,"Lê Xu_n Nhu_n , born on January 2, 1930 in Hu_ , is a Vietnamese-American poet/writer under the pen name Thanh-Thanh"
Vietnam,Linh Nga,Arts/Entertainment,First Generation,85933,"Nguy_n Linh Nga , also known as Linh Nga, Lina Nga Nguyen is a Vietnamese Film director, actress,screenwriter, and news anchor"
Vietnam,Dustin Nguyen,Arts/Entertainment,First Generation,82941,"Dustin Nguyen  is a Vietnamese-American actor, director, writer and martial artist"
Vietnam,J.C. Tran,Sports,Second Generation or Higher,80213,
Vietnam,David Pham,Other,First Generation,76181,"David Pham , is a Vietnamese-American professional poker player from Bell Gardens, California with two World Series of Poker bracelets and has made seven final tables at the World Poker Tour"
Vietnam,Betty Nguyen,Media/Journalism,First Generation,74094,Betty Nguyen is an American news anchor with NBC News and MSNBC
Vietnam,Michelle Phan,Other,Second Generation or Higher,67205,Michelle Phan is an American make-up demonstrator and entrepreneur who became notable as a YouTube personality
Vietnam,David Tran,Business/Technology,First Generation,66372,"Huy Fong Foods is a hot sauce company based in Irwindale, California"
Vietnam,Madison Nguyen,Government,Second Generation or Higher,64029,Madison Phuong Nguyen  is an American politician from California
Vietnam,Hubert Vo,Government,First Generation,63901,Hubert Vo   is a member of the Texas House of Representatives from District 149
Vietnam,Chloe Dao,Other,First Generation,62835,"Chloe Dao  is an American fashion designer of Vietnamese descent who lives and works in Houston, US"
Vietnam,Janet Nguyen,Government,Second Generation or Higher,61107,Janet Q  Nguyen  is an American politician currently serving in the California State Senate
Vietnam,Andrew X. Pham,Media/Journalism,Second Generation or Higher,60920,Andrew X  Pham is an author
Vietnam,Steve Nguyen,Arts/Entertainment,First Generation,60340,"Steve Nguyen  is a Vietnamese American director, writer, producer, and co-founder of Studio APA"
Vietnam,Jim Parque,Sports,Second Generation or Higher,58346,James Vo Parque  is a former Major League Baseball pitcher for the Chicago White Sox and Tampa Bay Devil Rays from 1998 to 2003
Vietnam,Andy Nguyen,Military,Second Generation or Higher,58338,"Anthony Nguyen, aka Andy, a poker dealer at Binion's Horseshoe Casino, was the World Series of Poker bracelet winner in the Casino Employees Championship in 2005"
Vietnam,Doan Hoang,Arts/Entertainment,First Generation,57182,"Doan Hoang or _oan Ho_ng, is a Vietnamese-American documentary film director, producer, editor, and screenwriter"
Vietnam,Catherine Mai Lan Fox,Sports,Second Generation or Higher,57083,Catherine Mai-Lan Fox  is an American former competition swimmer who won two gold medals at the 1996 Summer Olympics
Vietnam,Dat Phan,Other,First Generation,56182,"Dat Phan , is a Vietnamese American stand-up comedian"
Vietnam,Danny Graves,Sports,First Generation,55591,Daniel Peter Graves  is a former Major League Baseball pitcher
Vietnam,Jeannie Mai,Arts/Entertainment,First Generation,51252,"Jeannie Camtu Mai  is an American makeup artist, fashion expert, and TV personality"
Vietnam,Nguyen Van Kiet,Military,Second Generation or Higher,50751,"Nguy_n V_n Ki_t was a Petty Officer Third Class in the Republic of Vietnam Navy, one of only two South Vietnamese and the only South Vietnamese Navy member, to be awarded the Navy Cross for actions during the Vietnam War"
Vietnam,Christine Ha,Other,Second Generation or Higher,50630,"Christine H_ , is an American chef and writer from Houston, Texas"
Vietnam,Thuy Trang,Arts/Entertainment,First Generation,50622,Thuy Trang  was a Vietnamese-born American actress
Vietnam,Nguyen Chi Thien,Media/Journalism,First Generation,48841,"Nguy_n Chê Thi_n  Vietnamese-born American dissident, activist and poet who spent a total of twenty-seven years in prison"
Vietnam,John Eklund,Other,Second Generation or Higher,46129,John J  Eklund is a Republican member of the Ohio Senate for the 18th district
Vietnam,Hung Huynh,Other,Second Generation or Higher,44963,"Hung Huynh  is a Vietnamese-American chef, and in 2007 was the winner of the third season of Top Chef, the reality cooking competition show on Bravo"
Vietnam,Viet Xuan Luong,Military,First Generation,44692,Viet Xuan Luong  is a Brigadier General in the United States Army
Vietnam,John Tran,Government,First Generation,44187,"John Tran  is an American former politician who served on the Rosemead, California city council as that city's first Asian-American mayor"
Vietnam,Jonathan Ke Quan,Arts/Entertainment,First Generation,43163,Jonathan Luke Ke Huy Quan  is a Vietnamese-born American actor
Vietnam,Lance Krall,Arts/Entertainment,Second Generation or Higher,42581,"Lance Krall  is an American comedian and actor, television writer, director, and producer of Vietnamese descent"
Vietnam,Van Tran,Government,Second Generation or Higher,42526,"Van Thai Tran  is an attorney and politician in California, formerly serving as a Republican member of the California State Assembly, representing portions of Orange County"
Vietnam,Huynh Sanh Thong,Media/Journalism,Second Generation or Higher,42503,Hu_nh Sanh Th_ng  was a Vietnamese American scholar and translator
Vietnam,Hiep Thi Le,Arts/Entertainment,First Generation,42090,"Hiep Thi Le  is a Vietnamese-American actress, best known for her role in Heaven &amp; Earth , the third film in director Oliver Stone's Vietnam trilogy"
Vietnam,Howard Bach,Sports,First Generation,41872,Howard Bach is a Vietnamese-American male badminton player from the United States
Vietnam,Eugene H. Trinh,Academia/Science,First Generation,41447,"Eugene Huu-Chau ""Gene"" Trinh  is a Vietnamese American biochemist who flew aboard NASA Space Shuttle mission STS-50 as a Payload Specialist, becoming the first Vietnamese American astronaut in space"
Vietnam,Cuong Vu,Arts/Entertainment,First Generation,41084,Cuong Vu  is a Vietnamese-American jazz trumpeter and vocalist
Vietnam,Bill Nguyen,Business/Technology,First Generation,41004,Bill Nguyen  is a Vietnamese-American technology entrepreneur
Vietnam,Bui Tuong Phong,Academia/Science,First Generation,40011,Bùi T__ng Phong  was a Vietnamese-born French-American computer graphics researcher and pioneer
Vietnam,Jonas Bevacqua,Other,Second Generation or Higher,39714,Jonas Bevacqua  was an American clothing designer and entrepreneur
Vietnam,Le Ly Hayslip,Media/Journalism,First Generation,39678,Le Ly Hayslip  is a Vietnamese-American memoirist and humanitarian
Vietnam,Quang X. Pham,Media/Journalism,First Generation,39312,"Quang Pham, a Vietnamese American, was born in 1964, in Saigon, South Vietnam"
Vietnam,Le Thi Diem Thuy,Media/Journalism,First Generation,38876,"Lê Th_ Di_m Thñy  is a Vietnamese American poet, novelist, and performer"
Vietnam,Tom Vu,Other,First Generation,38671,"Tuan Anh Vu,  better known as ""Tommy"" or Tom Vu is a Vietnamese-American poker player, real estate investor and speaker best remembered as an infomercial personality in the late 1980s and early 1990s"
Vietnam,Doan Van Toai,Media/Journalism,First Generation,38068,_o_n V_n To_i  is a Vietnamese-born naturalized American activist and the author of The Vietnamese Gulag
Vietnam,Monique Truong,Media/Journalism,First Generation,37588,
Vietnam,Aimee Phan,Media/Journalism,Second Generation or Higher,37424,Aimee Phan is a Vietnamese-American author
Vietnam,Rosie Tran,Arts/Entertainment,First Generation,37110,"Rosie Tran  is an American stand-up comedian, model, actress, writer, and podcast host"
Vietnam,Trung Dung,Business/Technology,First Generation,36985,Trung Dung  is a Vietnamese-American businessman
Vietnam,Leta Lindley,Sports,Second Generation or Higher,35676,Leta Lindley  is an American professional golfer who captured her first LPGA Tour title after 15 years on tour at the 2008 LPGA Corning Classic
Vietnam,Nguyen Quy An,Military,First Generation,35262,Nguy_n Qñy An  is a former Major in the Republic of Vietnam Air Force who risked his life to rescue four Americans in a downed chopper while he was on a different mission
Vietnam,Leyna Nguyen,Media/Journalism,First Generation,34939,"Leyna Nguyen  is a Vietnamese-American television anchor and reporter from Los Angeles, California"
Vietnam,Amy Tran,Sports,Second Generation or Higher,34679,"Amy Tr_n or Amy Tran-Swensen  is a field hockey goalkeeper from the United States, who made her national team debut against Mexico at the Pan American Cup, where she shared the 5-0 shutout"
Vietnam,Frank Jao,Business/Technology,Second Generation or Higher,34623,Frank Jao is a prominent Asian American businessman in Southern California
Vietnam,Thuy Vu,Media/Journalism,First Generation,34429,"Thuy Vu is an award-winning journalist, anchor and reporter"
Vietnam,Luong Kim Dinh,Religion,Second Generation or Higher,34191,"L__ng Kim __nh or Dominic L__ng Kim __nh, Kim __nh  was a Vietnamese catholic priest, scholar and philosopher"
Vietnam,Tony Lam,Government,First Generation,32943,Tony L_m  is a politician from California
Vietnam,Minh Thai,Sports,Second Generation or Higher,32681,"Minh Thai  was a sixteen-year-old Vietnamese-American high school student from Los Angeles when he won the first world championship on June 5, 1982 in Budapest by solving a Rubik's Cube in 22"
Vietnam,Chau Nguyen,Media/Journalism,First Generation,32504,"Chau Nguyen  is a former Vietnamese-American news anchor most recently seen with KHOU-TV, before stepping down in December 2007"
Vietnam,Kien Nguyen,Media/Journalism,First Generation,32326,"Kien Nguyen , born in Nha Trang, South Vietnam, 1967, is an author"
Vietnam,Lan Cao,Government,First Generation,31941,Lan Cao  is the author of the 1997 novel Monkey Bridge and The Lotus and the Storm
Vietnam,Mimi Tran,Sports,First Generation,31469,"Thithi ""Mimi"" Tran  is a Vietnamese-American professional poker player"
Vietnam,Nguyen Do,Media/Journalism,Second Generation or Higher,31209,"Nguyen Do  is a Vietnamese American poet, editor, and translator"
Vietnam,Don Nguyen,Sports,Second Generation or Higher,29602,"Don ""The Nuge"" Nguyen, is an American pro-skateboarder from Oklahoma City, Oklahoma"
Vietnam,Nguyen Qui Duc,Media/Journalism,Second Generation or Higher,29052,"Nguyen Qui Duc  is a Vietnamese American radio broadcaster, writer, editor and translator"
Vietnam,Han T. Dinh,Academia/Science,Second Generation or Higher,29026,Han T  Dinh is director of vehicle engineering for the United States Postal Service
Vietnam,Stephanie Trong,Media/Journalism,Second Generation or Higher,28718,"Stephanie Trong was the executive editor of the magazine Jane, which had a circulation approaching one million until it shut down in July 2007"
Vietnam,Mina Nguyen,Government,Second Generation or Higher,28064,"Mina Nguyen is the former deputy assistant secretary of Business Affairs, appointed by U"
Vietnam,Kathy Uyen,Arts/Entertainment,Second Generation or Higher,27852,Kathy Uyen is a Vietnamese American actress
Vietnam,My,Government,Second Generation or Higher,27089,"My commonly refers to the first-person, possessive pronoun in the English language, see I "
Vietnam,Kok Ksor,Government,First Generation,25230,"Kok Ksor was born in 1945 in Gia Lai Province, in the Central Highlands of Vietnam"
Vietnam,Full,Arts/Entertainment,Second Generation or Higher,24247,Full may refer to the following:
Vietnam,Duy,Academia/Science,First Generation,22683,Duy is a masculine Vietnamese given name
South Korea,Jay Park,Arts/Entertainment,Second Generation or Higher,424750,"Jay Park  is an American singer, dancer, rapper, music producer, songwriter, model, choreographer, entrepreneur, and actor"
South Korea,Science,Religion,First Generation,315310,Science  is a systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe
South Korea,BJ Penn,Sports,First Generation,305718,
South Korea,Michelle Wie,Sports,Second Generation or Higher,229632,Michelle Sung Wie  is an American professional golfer who plays on the LPGA Tour
South Korea,Daewon Song,Sports,First Generation,191218,"Daewon David Song  is a Korean-born American professional skateboarder, recognized for his skillful technical street skateboarding"
South Korea,Hines Ward,Sports,Second Generation or Higher,187140,
South Korea,Michelle Rhee,Religion,Second Generation or Higher,175343,Michelle A  Rhee  is an American educator and an advocate for education reform
South Korea,Amerie,Arts/Entertainment,First Generation,167703,"Amerie Mi Marie Rogers , known professionally as Ameriie , is an American recording artist, record producer, and actress"
South Korea,Sandra Oh,Arts/Entertainment,First Generation,164666,Sandra Miju Oh  is a Canadian actress known for her role as Dr
South Korea,Margaret Cho,Arts/Entertainment,First Generation,163804,"Margaret Moran Cho  is an American comedian, fashion designer, actress, author, and singer-songwriter"
South Korea,John Yoo,Government,First Generation,163068,"John Choon Yoo  is a Korean-American attorney, law professor, and author"
South Korea,Jane Kim,Government,First Generation,159077,"Jane Kim  is an American civil rights attorney and politician, the first Korean American elected official in San Francisco"
South Korea,Benson Henderson,Sports,Second Generation or Higher,152980,"Benson Henderson , is an American mixed martial artist who competes for the Ultimate Fighting Championship, and is a former UFC Lightweight Champion and WEC Lightweight Champion"
South Korea,Crystal Kay,Arts/Entertainment,First Generation,152256,"Crystal Kay Williams ,simply known as Crystal Kay, is a Japanese American recording artist and radio host and actress"
South Korea,Jim Lee,Arts/Entertainment,Second Generation or Higher,152232,"Jim Lee  is a Korean American comic book artist, writer, editor, and publisher"
South Korea,Tiffany Hwang,Arts/Entertainment,First Generation,142161,"Stephanie Young Hwang , better known by the stage name Tiffany or by her Korean name Hwang Mi-young, is an American singer-songwriter and actress"
South Korea,T. K. Seung,Literature,First Generation,140368,
South Korea,James Yun,Sports,Second Generation or Higher,138738,"James Carson Yun  is a Korean American professional wrestler and actor, best known for his time in World Wrestling Entertainment under the ring name Jimmy Wang Yang"
South Korea,Chanel Iman,Arts/Entertainment,Second Generation or Higher,137929,"Chanel Iman Robinson  is an American model, known professionally as Chanel Iman"
South Korea,Krystal Jung,Arts/Entertainment,First Generation,135541,"Chrystal Soo Jung , better known as Krystal Jung, Krystal, or by her Korean name Jung Soo Jung, is an American singer and actress currently based in South Korea"
South Korea,Meg Frampton,Arts/Entertainment,Second Generation or Higher,126158,Meg &amp; Dia was an American rock band formed in 2004
South Korea,Beverly Kim,Arts/Entertainment,First Generation,121143,"Top Chef: Texas is the ninth season of American reality television series Top Chef and was filmed in various cities in Texas, including San Antonio, Dallas, and Austin, before moving on to British Columbia for the finale"
South Korea,John Myung,Arts/Entertainment,Second Generation or Higher,119422,John Ro Myung  is an American bassist and a founding member of the progressive metal/rock group Dream Theater
South Korea,Jeff Hwang,Military,First Generation,117857,"The Mackay Trophy is awarded yearly by the United States Air Force for the ""most meritorious flight of the year"" by an Air Force person, persons, or organization"
South Korea,Nicole Jung,Arts/Entertainment,First Generation,117401,"Nicole Yongju Jung , better known mononymously as Nicole , is a Korean-American idol singer, TV presenter, promotional model, and entrepreneur"
South Korea,Harold Hongju Koh,Government,First Generation,116242,Harold Hongju Koh  is a Korean American lawyer and legal scholar
South Korea,Johnny Yong Bosch,Arts/Entertainment,First Generation,113812,"Johnny Yong Bosch  is an American actor, martial artist, voice actor and musician"
South Korea,Jim Yong Kim,Religion,First Generation,112952,"Jim Yong Kim MD, PhD, also known as Kim Yong , is a Korean American physician and anthropologist who became the 12th President of the World Bank on July 1, 2012"
South Korea,Stephanie Kim,Arts/Entertainment,First Generation,111385,The Grace  is a four-member South Korean girl group formed by SM Entertainment in 2005
South Korea,Jessica Jung,Arts/Entertainment,First Generation,109975,"Jessica Sooyoun Jung  is an American singer, actress, and businesswoman currently based in South Korea"
South Korea,Nam June Paik,Arts/Entertainment,First Generation,109759,Nam June Paik  was a Korean American artist
South Korea,Dia Frampton,Arts/Entertainment,First Generation,107387,"Dia Frampton , is an American singer-songwriter and was the lead singer of the band Meg &amp; Dia"
South Korea,David Choi,Arts/Entertainment,Second Generation or Higher,107150,David Choi  is an Korean-American musician and YouTube video producer based in Los Angeles
South Korea,Daniel Dae Kim,Arts/Entertainment,First Generation,105266,"Daniel Dae Kim  is an American actor, producer, and director"
South Korea,David Chang,Arts/Entertainment,First Generation,103377,David Chang  is a Korean-American chef and entrepreneur
South Korea,Jessica Anderson,Arts/Entertainment,First Generation,102184,Jessica Margaret Anderson  was an Australian novelist and short story writer
South Korea,Karen O,Arts/Entertainment,First Generation,100231,"Karen Lee Orzolek , better known by her stage name Karen O, is a South Korean-born American singer and musician"
South Korea,Steve Park,Arts/Entertainment,First Generation,99192,Stephen Park  is a professional race car driver
South Korea,James Roh,Arts/Entertainment,Second Generation or Higher,98506,Far East Movement  is an American hip hop group based in Los Angeles
South Korea,Sean Lee,Arts/Entertainment,Second Generation or Higher,97712,Sean Patrick Lee  is an American football linebacker for the Dallas Cowboys
South Korea,Jenna Ushkowitz,Arts/Entertainment,First Generation,96964,Jenna Noelle Ushkowitz  is an American actress and singer
South Korea,Grace Kim,Arts/Entertainment,Second Generation or Higher,96075,The following is a list of Playboy Playmates of 2008
South Korea,Daniel Choi,Military,First Generation,95771,Daniel Choi  is an American former infantry officer in the United States Army who served in combat in the Iraq war during 2006-2007
South Korea,Eric Mun,Arts/Entertainment,First Generation,94437,Eric Mun  is a Korean American singer and actor
South Korea,Sarah Chang,Arts/Entertainment,First Generation,94232,Sarah Chang   is an American classical violinist
South Korea,Yul Kwon,Arts/Entertainment,First Generation,93274,"Yul Kwon  is a Korean-American television host and former government official, lawyer, and management consultant based in Virginia"
South Korea,Philip Jaisohn,Other,Second Generation or Higher,93102,"Philip Jaisohn  was the anglicized name used by Soh Jaipil, a noted champion for Korea's independence, journalist, the first Korean to become a naturalized citizen of the United States, and the founder of the first Korean newspaper in Hangul, the Independent News"
South Korea,Ailee,Arts/Entertainment,First Generation,91421,"Amy Lee , better known by her stage name Ailee , is an American singer signed to South Korean record label YMC Entertainment"
South Korea,Ken Jeong,Arts/Entertainment,First Generation,90307,"Kendrick Kang-Joh ""Ken"" Jeong, M"
South Korea,Joe Hahn,Arts/Entertainment,First Generation,89702,"Joseph ""Joe"" Hahn , is a turntablist and director best known as the DJ and sampler for the American rock band Linkin Park"
South Korea,Philip Ahn,Arts/Entertainment,First Generation,89600,Philip Ahn  was a Korean-American actor
South Korea,Gideon Yu,Business/Technology,Second Generation or Higher,88078,Gideon Yu  is a Korean-American sports executive and a high technology investor and advisor
South Korea,Benjamin W. Lee,Religion,First Generation,87104,"Benjamin Whisoh Lee  or Ben Lee, was a Korean-American theoretical physicist"
South Korea,Juju Chang,Media/Journalism,Second Generation or Higher,87051,"Hyunju ""Juju"" Chang  is a Korean-American Emmy Award-winning television journalist for ABC News, and currently serves as an anchor of Nightline"
South Korea,Priscilla Ahn,Arts/Entertainment,First Generation,86828,"Priscilla Ahn  is an American singer, songwriter and multi-instrumentalist"
South Korea,Christina Kim,Sports,Second Generation or Higher,86101,Christina Kim  is an American professional golfer currently playing on the LPGA Tour and on the Ladies European Tour 
South Korea,John Cho,Arts/Entertainment,First Generation,85013,John Yohan Cho  is a South Korean born American actor and musician
South Korea,Morena Corwin,Arts/Entertainment,First Generation,83848,The following is a list of Playboy Playmates of 1992
South Korea,James Kim,Business/Technology,First Generation,83087,"James Kim  was an American television personality and technology analyst for the former TechTV international cable television network, reviewing products for shows including The Screen Savers, Call for Help, and Fresh Gear"
South Korea,Frank Cho,Arts/Entertainment,First Generation,82428,"Frank Cho, born Duk Hyun Cho, is a Korean-American comic strip and comic book writer and illustrator, known for his series Liberty Meadows, as well as for books such as Shanna the She-Devil, Mighty Avengers and Hulk for Marvel Comics, and Jungle Girl for Dynamite Entertainment"
South Korea,Joseph Kahn,Arts/Entertainment,First Generation,81701,Joseph Kahn  is an American film and music video director
South Korea,Theresa Hak Kyung Cha,Arts/Entertainment,First Generation,80075,"Theresa Hak Kyung Cha  was a South Korean-born American novelist, producer, director, and artist, best known for her 1982 novel, Dictee"
South Korea,Mark L. Keam,Government,First Generation,78775,Mark Lee Keam  is a member of the Virginia House of Delegates in the United States
South Korea,Jamie Chung,Arts/Entertainment,First Generation,76900,Jamie Jilynn Chung  is an American actress and former reality television personality
South Korea,Brian Joo,Arts/Entertainment,First Generation,76767,"Brian Joo , better known as simply Brian, is an American R&amp;B and K-pop recording artist who is based in the United States and South Korea"
South Korea,Heejun Han,Arts/Entertainment,Second Generation or Higher,76161,"Heejun Han  is a South Korean singer from Flushing, Queens, New York, who finished in ninth place on the eleventh season of American Idol"
South Korea,Lucy H. Koh,Government,First Generation,75274,Lucy Haeran Koh  is a United States District Judge on the United States District Court for the Northern District of California
South Korea,Lindsay Price,Arts/Entertainment,First Generation,74169,Lindsay Jaylyn Price  is an American television actress and singer
South Korea,Vicky Hurst,Sports,Second Generation or Higher,73417,Vicky Hurst  is an American professional golfer currently playing on the LPGA Tour
South Korea,Steven Yeun,Arts/Entertainment,Second Generation or Higher,73045,"Steven Yeun  is a Korean American actor best known for portraying Glenn Rhee on the The Walking Dead, an AMC television horror drama series "
South Korea,Jaegwon Kim,Religion,Second Generation or Higher,72451,Jaegwon Kim  is a Korean American philosopher who works at Brown University
South Korea,Arden Cho,Arts/Entertainment,Second Generation or Higher,71168,"Arden Cho  is an American actress, singer and model, best known for her role as Kira Yukimura on Teen Wolf"
South Korea,Tiger JK,Arts/Entertainment,First Generation,70670,"Tiger JK ) is a South Korean-born American rapper, record producer and entrepreneur best known as one of the founding members of hip hop group Drunken Tiger"
South Korea,Jon Gosselin,Arts/Entertainment,First Generation,70414,"Jonathan Keith ""Jon"" Gosselin  is an American television personality, known for his appearances with then-wife Kate Gosselin and their eight children on the American reality TV show Jon &amp; Kate Plus 8"
South Korea,Yunjin Kim,Arts/Entertainment,First Generation,70214,Yunjin Kim  is an American film and theater actress born in South Korea
South Korea,Nelson Chai,Business/Technology,First Generation,70095,Nelson Joosuk Chai  is an American investment banker and financial executive
South Korea,T,Arts/Entertainment,First Generation,70087,T  is the 20th letter in the ISO basic Latin alphabet
South Korea,Timothy Chang,Arts/Entertainment,First Generation,68511,"Timothy Kealii'okaaina Awa ""Timmy"" Chang  is an American football coach and former college and professional quarterback"
South Korea,Elizabeth Kim,Literature,First Generation,68347,"Elizabeth Kim  is the pen name of an American journalist who authored the book Ten Thousand Sorrows, which is described as a memoir"
South Korea,Richard Park,Sports,Second Generation or Higher,68345,Richard Park  is a Korean-born American former professional ice hockey forward who played 14 National Hockey League  seasons with six different teams
South Korea,Anthony Kim,Sports,First Generation,68257,"Anthony Ha-Jin Kim  is an American professional golfer with three PGA Tour wins, a Ryder Cup, and Presidents Cup to his credit, but has not played a Tour event after an injury in 2012"
South Korea,Eric Nam,Arts/Entertainment,First Generation,67633,"Nam Yoon-do , better known by his stage name Eric Nam, is an American singer and television host currently based in South Korea"
South Korea,Hank Conger,Sports,First Generation,66994,"Hyun Choi ""Hank"" Conger  is an American professional baseball catcher for the Houston Astros of Major League Baseball "
South Korea,Il Lee,Arts/Entertainment,Second Generation or Higher,65958,Il Lee  is a Korean American contemporary artist
South Korea,Eli Kim,Arts/Entertainment,First Generation,65193,"Kim Kyoungjae , popularly known as Eli Kim, is a Korean-American singer and one of the seven-member Korean boyband, U-KISS under NH Media Entertainment"
South Korea,Sonya Thomas,Sports,First Generation,64999,"Sonya Thomas , also known by her nickname The Black Widow, and ""The Leader of the Four Horsemen of the Esophagus"", is a top-ranked Korean-born American competitive eater from Alexandria, Virginia"
South Korea,Daniel Henney,Arts/Entertainment,First Generation,64196,"Daniel Phillip Henney  is an American actor and model of Korean and Irish descent, known for starring in films such as Seducing Mr"
South Korea,Moon Bloodgood,Arts/Entertainment,Second Generation or Higher,63056,"Korinna Moon Bloodgood  is an American actress and model, known for her role as Lt"
South Korea,Sonja Sohn,Arts/Entertainment,First Generation,62895,Sonja Sohn  is an American actress
South Korea,Kevin Woo,Arts/Entertainment,First Generation,62812,"Woo Sung-hyun , better known by his birth name Kevin , is an American singer and television host"
South Korea,Linda Sue Park,Literature,First Generation,62747,Linda Sue Park is an American author of teen fiction
South Korea,David Lipsky,Sports,Second Generation or Higher,62292,David Lipsky  is an American author
