Samrat Chakrabarti, Actors and actresses,43887
Jagdish Sheth, Scholars,43876
Vinod Gupta, Founders / Entrepreneurs / Venture Capitalists,43789
Bhargav Gajjar, Scholars,43786
Naren Shankar, Activists/Civil Rights,43728
Bikram Choudhury, Yoga,43604
Arun Netravali, Science and technology,43504
Shelly Malil, Actors and actresses,43487
Sakina Jaffrey, Actors and actresses,43428
Balamurali Ambati, Medicine,43165
Anu Garg, Literature,43164
Shihab Rattansi, Media,42883
Ramani Ayer, Former,42847
Hari Sreenivasan, Media,42747
Chitrabhanu, Religion,42625
Anil Dash, Science and technology,42453
J. N. Reddy, Scholars,42433
Anshu Jain, Business Executives,42430
Khem Shahani, Science and technology,42402
Chandrashekhar Khare, Mathematicians,42376
Kavita Ramdas, Activists/Civil Rights,42346
Francisco D'Souza, Business Executives,42182
Pooja Kumar, Activists/Civil Rights,42005
Hari Kondabolu, Comedians,41938
Ajay Bhatt, Science and technology,41836
Zarin Mehta, Musicians,41833
Ash, Media,41780
Ashok Das, Scholars,41751
Susham Bedi, Literature,41681
Jagdish Shukla, Scholars,41636
Raghu Raj Bahadur, Mathematicians,41541
Vijay Vazirani, Scholars,41437
Ramananda Prasad, Religion,41323
Sunkrish Bala, Actors and actresses,41321
Sant Singh Chatwal, Founders / Entrepreneurs / Venture Capitalists,41214
Harish Saluja, Activists/Civil Rights,41129
Vivek Paul, Founders / Entrepreneurs / Venture Capitalists,40988
Arif Alikhan, Civil Servants,40928
Adi Shankar, Activists/Civil Rights,40837
Anirvan Ghosh, Scholars,40810
Ajay Banga, Business Executives,40669
San Banarje, Activists/Civil Rights,40458
Sreenath Sreenivasan, Media,40398
Pradeep Sindhu, Founders / Entrepreneurs / Venture Capitalists,40396
Sanjay Jha, Business Executives,40310
Ramesh Ponnuru, Media,40224
Vashtie Kola, Fashion designers,40127
Ramesh K. Agarwal, Science and technology,39960
Umang Gupta, Former,39935
Alpana Singh, Media,39908
Mathukumalli Vidyasagar, Science and technology,39851
Marti G. Subrahmanyam, Scholars,39797
Dileep Rao, Actors and actresses,39794
Ghalib Shiraz Dhalla, Literature,39787
Tirlok Malik, Activists/Civil Rights,39775
Sanjay Mishra, Musicians,39689
Aswath Damodaran, Scholars,39509
Sabeer Bhatia, Science and technology,39507
Tina Sugandh, Activists/Civil Rights,39439
Aimee Nezhukumatathil, Literature,39337
Sanjay Subrahmanyam, Scholars,39245
Rina Banerjee, Activists/Civil Rights,39234
Thomas Anantharaman, Science and technology,39206
Paul Sabu, Musicians,39163
Manish Dayal, Actors and actresses,38886
Preeta D. Bansal, Civil Servants,38771
K. C. Sreedharan Pillai, Mathematicians,38721
Jay Sidhu, Former,38701
Gitanjali S. Gutierrez, Activists/Civil Rights,38667
M.R. Rangaswami, Founders / Entrepreneurs / Venture Capitalists,38632
Sukanya Krishnan, Media,38342
Dipak C. Jain, Dean/President,38296
Thrity Umrigar, Literature,38257
Uday Singh Taunque, Military,38136
Sushil Kumarji, Religion,38077
K. Mani Chandy, Scholars,37977
Priya David, Media,37967
Bhairavi Desai, Activists/Civil Rights,37965
Asha Blake, Media,37937
Krishna Bharat, Science and technology,37924
S. Lochlann Jain, Scholars,37779
Islam A. Siddiqui, Civil Servants,37728
Molly Easo Smith, Dean/President,37722
Subrah Iyar, Science and technology,37703
Bibhu Mohapatra, Fashion designers,37695
Anjul Nigam, Actors and actresses,37621
Deepa Fernandes, Media,37536
Bikram Singh, Musicians,37528
Alok Bhargava, Scholars,37487
"Anil K. Jain (electrical engineer, born 1946)", Scholars,37466
Raj Jain, Scholars,37395
Nitin Nohria, Dean/President,37358
Mallika Dutt, Activists/Civil Rights,37331
"Anil K. Jain (computer scientist, born 1948)", Scholars,37257
Ravi Hutheesing, Musicians,37138
Joe Roche, Military,36978
Nazir Jairazbhoy, Scholars,36956
Rajiv Chandrasekaran, Media,36878
Arun Majumdar, Civil Servants,36814
Indira Viswanathan Peterson, Literature,36796
Ajit Jain, Business Executives,36679
Shauna Singh Baldwin, Literature,36574
Ravi Jagannathan, Scholars,36532
Kartar Dhillon, Activists/Civil Rights,36261
Arun Luthra, Musicians,36212
Rachel Paulose, Civil Servants,36200
Sanjiv Ahuja, Former,36192
Debraj Ray, Scholars,36184
Vikram Amar, Scholars,36177
Deepti Gupta, Actors and actresses,36140
Ajay Naidu, Actors and actresses,36110
Bala K. Srinivas, Elected Officials,36096
Shrinivas Kulkarni, Scholars,36094
Shaheen Sheik, Musicians,36008
Ramesh Jain, Founders / Entrepreneurs / Venture Capitalists,35840
Naren Bakshi, Founders / Entrepreneurs / Venture Capitalists,35833
Deep Katdare, Actors and actresses,35772
Kalpana Pandit, Actors and actresses,35530
Satish Mohan, Elected Officials,35526
Asim Ghosh, Business Executives,35408
Vyomesh Joshi, Business Executives,35395
K. R. Rao, Scholars,35330
Rakesh Jain, Scholars,35311
Sujata Day, Actors and actresses,35277
Parag Khanna, Literature,35262
Rishi Reddi, Literature,35159
Krishan Sabnani, Science and technology,35065
Sabita Singh, Civil Servants,35054
Rajat Parr, Culinary arts,34953
Shibani Joshi, Media,34937
Vijaya Lakshmi Emani, Activists/Civil Rights,34846
Pramod P. Khargonekar, Dean/President,34818
Medha Yodh, Scholars,34737
G. S. Maddala, Mathematicians,34630
Arvind Panagariya, Scholars,34580
Pramod Khargonekar, Science and technology,34502
Anil Nerode, Mathematicians,34490
Ramesh Agarwal, Scholars,34490
Jainendra K. Jain, Scholars,34458
Firdous Bamji, Actors and actresses,34255
Jaishree Odin, Scholars,34096
Adam Mamawala, Comedians,33900
Angel Boi, Musicians,31194
Jay Goyal, Elected Officials,33864
"Harvinder ""Harry"" Anand", Elected Officials,33832
Indu Sundaresan, Literature,33743
Thomas Tevana, Actors and actresses,33735
Falu, Musicians,33681
Ajay Mehta, Actors and actresses,33568
Syma Chowdhry, Media,33503
Rangaswamy Srinivasan, Science and technology,33405
Stephen Amritraj, Sports,33379
Rakesh Khurana, Dean/President,33313
Rajeev Srinivasan, Media,33305
Geeta Menon, Dean/President,33194
Sarayu Rao, Activists/Civil Rights,33126
Sushil Nadkarni, Sports,33039
Nikesh Arora, Business Executives,32951
Prakash Puram, Business Executives,32863
Raja Fenske, Actors and actresses,32824
Reena Ninan, Media,32813
Joy Cherian, Civil Servants,32743
Shishir Kurup, Actors and actresses,32696
Sharmila Bhattacharya, Science and technology,32593
Sameer Parekh, Founders / Entrepreneurs / Venture Capitalists,32578
Neeraj Khemlani, Activists/Civil Rights,32569
Ravindra Khattree, Scholars,32504
Rohini Kesavan Srihari, Founders / Entrepreneurs / Venture Capitalists,32384
Sanjay Beach, Sports,32255
Krishna Saraswat, Scholars,32213
Amit Patel, Medicine,32188
Ravi Kapoor, Actors and actresses,32112
Deepak Ananthapadmanabha, Media,32097
Vijay Raghunath Pandharipande, Science and technology,32050
Bobby Routh, Actors and actresses,31969
Vasant Rai, Musicians,31876
Saumitra Saxena, Literature,31677
Arvind Rajaraman, Science and technology,31604
Gaurav Dhillon, Founders / Entrepreneurs / Venture Capitalists,31585
Anant Raut, Civil Servants,31562
Mehul Shah, Activists/Civil Rights,31508
Somen Banerjee, Founders / Entrepreneurs / Venture Capitalists,31462
Dipa Ma, Yoga,31386
Serena Varghese, Actors and actresses,31358
V. V. Chari, Scholars,31350
Kausalya Hart, Scholars,31255
Dinesh Paliwal, Business Executives,31255
Ed Viswanathan, Religion,31240
Paul Varghese, Comedians,31196
Anjli Jain, Dean/President,31173
Vamsi Mootha, Science and technology,31154
Sunil Nayar, Activists/Civil Rights,31132
Bindu Subramaniam, Musicians,31075
Vineeta Rastogi, Science and technology,30971
Janaki Ram, Literature,30935
Kashmir Gill, Elected Officials,30698
Thomas Abraham, Activists/Civil Rights,30603
Rono Dutta, Business Executives,30582
Rajiv Dutta, Science and technology,30554
Abbas Sadriwala, Business Executives,30501
Christine Philip, Fashion designers,30463
Naresh Dalal, Scholars,30453
Mukesh Chatter, Founders / Entrepreneurs / Venture Capitalists,30374
Anish Shah, Comedians,30338
Arvind Raghunathan, Business Executives,30014
Vijay K. Dhir, Dean/President,30008
Preetish Nijhawan, Founders / Entrepreneurs / Venture Capitalists,29921
Avtar Saini, Science and technology,29790
Suhas Patil, Founders / Entrepreneurs / Venture Capitalists,29540
Murugan Pal, Founders / Entrepreneurs / Venture Capitalists,29507
Thomas Zacharia, Science and technology,29474
Vinita Nair, Media,29458
C. M. Naim, Scholars,29411
Paul Antony, Medicine,29370
Deepak Pandya, Science and technology,29291
Nimi McConigley, Elected Officials,29238
Sanjiv Sidhu, Founders / Entrepreneurs / Venture Capitalists,29220
Bharat Desai, Founders / Entrepreneurs / Venture Capitalists,29175
Salman Akhtar, Scholars,29136
Naeem Khan, Fashion designers,29124
Purva Bedi, Actors and actresses,29053
Laxmi Poruri, Sports,29021
Rahul Kumar, Actors and actresses,28936
Stephanie Sengupta, Activists/Civil Rights,28728
Jessie Singh Saini, Founders / Entrepreneurs / Venture Capitalists,28444
Mahadev Satyanarayanan, Science and technology,28366
V. Mohan Reddy, Science and technology,28294
Deepak Sarma, Scholars,28273
Jagadeesh Moodera, Scholars,28232
Kris Kolluri, Civil Servants,28147
Ajay Sahgal, Activists/Civil Rights,28068
Prosenjit Kundu, Activists/Civil Rights,28019
Piyare Jain, Scholars,27912
Muzaffar Alam, Scholars,27792
Faz Husain, Elected Officials,27762
Ranji H. Nagaswami, Business Executives,27658
Mish Michaels, Media,27565
Harish, Mathematicians,27504
Dr. Amitabha Ghosh, Science and technology,27490
Benny Mathews, Activists/Civil Rights,27400
Deepti Hajela, Media,27312
Harry Sidhu, Elected Officials,27185
Kevin Negandhi, Media,27070
Devika Parikh, Actors and actresses,26801
Lakshmi Narayanan, Former,26699
Faris McReynolds, Activists/Civil Rights,26664
Tanveer K. Atwal, Actors and actresses,26115
Shekar Narasimhan, Civil Servants,25818
Babu Subramaniam, Activists/Civil Rights,25745
Arun Jhaveri, Elected Officials,25640
Narendra Patni, Founders / Entrepreneurs / Venture Capitalists,25632
Bobby Mehta, Business Executives,25090
Rakesh Gangwal, Former,24858
John Abraham, Elected Officials,23691
Vijay Kumar, Dean/President,22845
Inder Singh, Activists/Civil Rights,22767
Sanjay Kumar, Former,21863
Rajiv Gupta, Business Executives,21798
Sonal Shah, Actors and actresses,21755
Mathai, Musicians,21101
